id;url;latitude;longitude;condition;price;area_sqm;floor;total_floors;rooms;build_year
3790282;https://www.kv.ee/3790282;58.366994;26.746109;Heas korras;500.0;37.2;4.0;6.0;2.0;2022.0
3790326;https://www.kv.ee/3790326;58.377283;26.747322;Heas korras;400.0;27.3;2.0;5.0;1.0;1969.0
3790332;https://www.kv.ee/3790332;58.3748164;26.7299393;Valmis;490.0;43.5;3.0;3.0;2.0;1918.0
3790335;https://www.kv.ee/3790335;58.4074779;26.7440544;Heas korras;1000.0;91.2;;;4.0;2016.0
3790390;https://www.kv.ee/3790390;58.3736694;26.7721724;Keskmine;450.0;65.8;5.0;5.0;3.0;1981.0
3790481;https://www.kv.ee/3790481;58.372205;26.724362;Renoveeritud;490.0;58.8;1.0;2.0;2.0;1977.0
3790487;https://www.kv.ee/3790487;58.3869222;26.7195577;Renoveeritud;590.0;46.0;1.0;2.0;2.0;
3790554;https://www.kv.ee/3790554;58.3895768;26.7228737;Renoveeritud;380.0;29.3;3.0;4.0;1.0;1977.0
3790628;https://www.kv.ee/3790628;58.3581996;26.6915413;;550.0;61.0;1.0;4.0;3.0;1991.0
3790637;https://www.kv.ee/3790637;58.377868100803;26.720104207683;Valmis;450.0;20.0;2.0;3.0;1.0;
3790749;https://www.kv.ee/3790749;58.383809137617;26.719543101863;Uus;590.0;33.4;2.0;2.0;2.0;2021.0
3790967;https://www.kv.ee/3790967;58.378261;26.7092562;Keskmine;400.0;77.4;2.0;2.0;3.0;1915.0
3791056;https://www.kv.ee/3791056;58.373422266551;26.720353683129;Valmis;295.0;10.0;4.0;5.0;1.0;2022.0
3791087;https://www.kv.ee/3791087;58.368432;26.717969;Renoveeritud;320.0;18.0;2.0;2.0;1.0;1977.0
3791198;https://www.kv.ee/3791198;58.370261;26.70506;Uus;295.0;15.0;2.0;2.0;1.0;2021.0
3791260;https://www.kv.ee/3791260;58.382827457993;26.730520536553;Valmis;550.0;58.9;2.0;5.0;2.0;
3791484;https://www.kv.ee/3791484;58.37807479999999;26.7233177;Keskmine;800.0;82.3;5.0;5.0;3.0;
3791689;https://www.kv.ee/3791689;58.3486;26.682785;Uus;680.0;58.0;1.0;4.0;3.0;2020.0
3791716;https://www.kv.ee/3791716;58.3576222;26.7241987;Valmis;450.0;47.3;5.0;5.0;2.0;
3791788;https://www.kv.ee/3791788;58.381791;26.710497;Heas korras;440.0;38.5;3.0;3.0;2.0;1977.0
3791795;https://www.kv.ee/3791795;58.36808740000001;26.7689731;Renoveeritud;180.0;20.0;6.0;9.0;1.0;
3791940;https://www.kv.ee/3791940;58.367069;26.705568;Heas korras;450.0;39.7;4.0;5.0;2.0;1960.0
3791999;https://www.kv.ee/3791999;58.38333;26.72136;Heas korras;500.0;65.3;4.0;5.0;2.0;1977.0
